outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
1,0.30000000000000004,0.1,0.6,368,0.5543478260869565,0.5619887101156157,0.6966483230677372,278,158,0.5683453237410072,0.5095796183590787,192,112,0.5833333333333334,0.5126304945212694,2.700238110082685,2,0.01391304347826089,0.4721521169586435,3.144564140084807,False,False
1,0.30000000000000004,0.15000000000000002,0.5499999999999999,368,0.5543478260869565,0.5623207655386845,0.6923919101907567,275,158,0.5745454545454546,0.5154775513379445,182,104,0.5714285714285714,0.49878635239206426,2.6517103737470467,2,0.007857833655706026,0.46302723174527716,3.0990219381809117,False,False
1,0.30000000000000004,0.2,0.49999999999999994,368,0.5543478260869565,0.562592447248468,0.6887067046829431,262,150,0.5725190839694656,0.5119918975858505,158,92,0.5822784810126582,0.5043167728851662,2.6711649475818584,2,0.007371794871794901,0.465690919708387,3.122112277546656,False,False
1,0.30000000000000004,0.25,0.44999999999999996,368,0.5625,0.563226371237963,0.6855582778262478,258,150,0.5813953488372093,0.5204341870728207,145,86,0.593103448275862,0.5117413202394682,2.7117557238368324,2,0.004090563165905614,0.4744901519219834,3.1780647494270045,False,False
1,0.30000000000000004,0.30000000000000004,0.3999999999999999,368,0.5679347826086957,0.5646451535001661,0.6829185705876107,250,144,0.576,0.5140438113999316,136,82,0.6029411764705882,0.5189673559831905,2.736310023786961,2,0.008868699978369032,0.4763567368169741,3.1949293606471967,False,False
1,0.30000000000000004,0.35000000000000003,0.3499999999999999,368,0.5815217391304348,0.5662450569022248,0.6807647548023391,233,133,0.5708154506437768,0.5066191420103829,118,73,0.6186440677966102,0.5285752066363015,2.770944882491876,2,0.02947943629565719,0.46499566253828867,3.1769816724388504,False,False
1,0.30000000000000004,0.4,0.29999999999999993,368,0.5869565217391305,0.5677242128777131,0.6790783977762217,217,127,0.5852534562211982,0.5187736324964403,96,60,0.625,0.5251053301827544,2.7710878418833538,2,0.0338688666956144,0.45247069972046267,3.155820808212588,False,True
1,0.30000000000000004,0.45,0.24999999999999994,368,0.592391304347826,0.5689316871434178,0.6778448443941173,200,122,0.61,0.5409361758928833,74,45,0.6081081081081081,0.49419310534999833,2.671297395426644,2,0.0076923076923077205,0.4357241958151947,3.0916369758572233,False,True
1,0.30000000000000004,0.5,0.19999999999999996,368,0.5842391304347826,0.5704108431189061,0.6770527605420602,183,113,0.6174863387978142,0.5453411312127495,61,36,0.5901639344262295,0.46499566253828867,2.55788430828012,2,0.03104575163398693,0.3731271947957688,2.8689199998079147,False,True
1,0.30000000000000004,0.55,0.1499999999999999,368,0.5788043478260869,0.5721616808041778,0.6766938004687659,161,102,0.6335403726708074,0.5568056266481635,40,26,0.65,0.4950559699353738,2.6891001201023763,2,0.009404388714733536,0.35379677689163724,3.0240881195645466,False,True
1,0.30000000000000004,0.6000000000000001,0.09999999999999987,368,0.5815217391304348,0.573882331632807,0.676762373169625,160,99,0.61875,0.5415420671016984,24,18,0.75,0.5510017468789357,2.8986656272994447,2,0.0,0.30063605244263664,3.1993016797420815,False,True
1,0.35000000000000003,0.05,0.5999999999999999,368,0.5570652173913043,0.561566094122619,0.6964724680564759,277,157,0.5667870036101083,0.5079118826345688,191,110,0.5759162303664922,0.5050094781073685,2.668538173167794,2,0.010649978041282426,0.46737278351554684,3.1146110006007763,False,False
1,0.35000000000000003,0.1,0.5499999999999999,368,0.5625,0.5621094575421861,0.6922380062390407,275,156,0.5672727272727273,0.5081844213577502,180,104,0.5777777777777777,0.5047361675674038,2.669814327642213,2,0.012845849802371578,0.4633206191683021,3.107443247205772,False,False
1,0.35000000000000003,0.15000000000000002,0.4999999999999999,368,0.5570652173913043,0.5623811392519696,0.6885736604039466,264,152,0.5757575757575758,0.5154716273661077,156,91,0.5833333333333334,0.5048742663697783,2.6773813460182834,2,0.008552631578947367,0.465690919708387,3.1259670025687756,False,False
1,0.35000000000000003,0.2,0.4499999999999999,368,0.5679347826086957,0.5634376792344613,0.6854451927702887,258,150,0.5813953488372093,0.5204341870728207,145,87,0.6,0.5186721991701244,2.7406522054913385,2,0.0027587519025875085,0.4818046137128726,3.2169393153990358,False,False
1,0.35000000000000003,0.25,0.3999999999999999,368,0.5733695652173914,0.5642527243638119,0.6828247061233332,250,145,0.58,0.5180598018274972,134,82,0.6119402985074627,0.5274084845750908,2.775078529255816,2,0.01828316610925307,0.4763567368169741,3.214868933854284,False,False
1,0.35000000000000003,0.30000000000000004,0.34999999999999987,368,0.5815217391304348,0.5660639357623691,0.6806895122389683,233,134,0.575107296137339,0.5109206769177369,117,72,0.6153846153846154,0.524895963703818,2.760490157840013,2,0.032894736842105254,0.4572785431323962,3.1519792272881983,False,False
1,0.35000000000000003,0.35000000000000003,0.2999999999999999,368,0.5842391304347826,0.5674223443112868,0.6790213019301603,216,127,0.5879629629629629,0.5213431867545277,99,61,0.6161616161616161,0.51772985227595,2.7435328648526385,2,0.028799019607843146,0.4516509274741746,3.137585753111127,False,False
1,0.35000000000000003,0.4,0.2499999999999999,368,0.5896739130434783,0.5687807528602047,0.6778055313828133,197,121,0.6142131979695431,0.5446702982784147,74,45,0.6081081081081081,0.49419310534999833,2.674450621868602,2,0.0076923076923077205,0.4357241958151947,3.0947902022991816,False,True
1,0.35000000000000003,0.45,0.1999999999999999,368,0.5869565217391305,0.571044767108401,0.6770309689782883,178,111,0.6235955056179775,0.5505172707444252,60,36,0.6,0.47365824394206846,2.5984487871973876,2,0.020361990950226283,0.3894829692111983,2.9472077745081338,False,True
1,0.35000000000000003,0.5,0.1499999999999999,368,0.5788043478260869,0.5726446705104598,0.6766893655032754,163,101,0.6196319018404908,0.5431588704905546,38,24,0.631578947368421,0.4728367282426011,2.586722181078659,2,0.0033670033670033517,0.35379677689163724,2.93378495123629,False,True
1,0.35000000000000003,0.55,0.09999999999999987,368,0.5815217391304348,0.5752105533250823,0.6767752230347697,163,102,0.6257668711656442,0.5493826430494978,23,18,0.782608695652174,0.5809611981726509,3.0267399049567594,2,0.019736842105263164,0.30063605244263664,3.2879022731888696,False,True
