strategy,outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
hit_shrink50,1,0.29500000000000004,0.305,0.4,368,0.5679347826086957,0.5646753403568087,0.6829286288053279,250,144,0.576,0.5140438113999316,136,82,0.6029411764705882,0.5189673559831905,2.7363170682004103,2,0.008868699978369032,0.4763567368169741,3.1949364050606466,False,False
hit_shrink50,1,0.29500000000000004,0.33,0.375,368,0.5733695652173914,0.5649470220665922,0.6817912883979576,244,141,0.5778688524590164,0.5151596241216233,125,77,0.616,0.5284885300554436,2.7769135063272623,2,0.022797131147541005,0.4714498650454971,3.2027691090776775,False,False
hit_shrink50,1,0.29500000000000004,0.355,0.35,368,0.5815217391304348,0.5664865517553657,0.6807729408676081,233,133,0.5708154506437768,0.5066191420103829,118,73,0.6186440677966102,0.5285752066363015,2.771015693734764,2,0.02947943629565719,0.46499566253828867,3.1770524836817384,False,False
hit_shrink50,1,0.29500000000000004,0.38,0.32499999999999996,368,0.5842391304347826,0.5668186071784346,0.6798714116485299,226,130,0.5752212389380531,0.5100457672922684,108,66,0.6111111111111112,0.516864220923738,2.728421776898001,2,0.029845626072041165,0.4503286833116465,3.1190592080655652,False,False
hit_shrink50,1,0.29500000000000004,0.405,0.3,368,0.5869565217391305,0.5676336523077852,0.679084761113901,217,127,0.5852534562211982,0.5187736324964403,96,60,0.625,0.5251053301827544,2.7710594010448393,2,0.0338688666956144,0.45247069972046267,3.1557923673740733,False,False
hit_shrink50,1,0.29500000000000004,0.43,0.275,368,0.595108695652174,0.5680864551574244,0.678411269360609,213,127,0.596244131455399,0.5292103237972663,81,50,0.6172839506172839,0.508410467539316,2.7166176157600703,2,0.007621951219512202,0.45726583898692563,3.1586395523079718,False,True
hit_shrink50,1,0.29500000000000004,0.455,0.24999999999999997,368,0.592391304347826,0.5689618740000604,0.6778494231514436,200,122,0.61,0.5409361758928833,74,45,0.6081081081081081,0.49419310534999833,2.6713055357321713,2,0.0076923076923077205,0.4357241958151947,3.0916451161627507,False,True
hit_shrink50,1,0.29500000000000004,0.48000000000000004,0.22499999999999995,368,0.5896739130434783,0.5701391614091225,0.6773979047595425,191,117,0.612565445026178,0.541904609040019,69,40,0.5797101449275363,0.46207193076612163,2.5436892821840296,2,0.0037878787878787845,0.4080697369146003,2.9441832615228725,False,True
hit_shrink50,1,0.29500000000000004,0.505,0.19999999999999998,368,0.5842391304347826,0.5704410299755487,0.6770555825063025,184,114,0.6195652173913043,0.5476474467332789,61,36,0.5901639344262295,0.46499566253828867,2.560199115464794,2,0.03104575163398693,0.3731271947957688,2.8712348069925886,False,True
hit_shrink50,1,0.29500000000000004,0.53,0.17499999999999996,368,0.5815217391304348,0.5711353276783289,0.6768215028224884,175,109,0.6228571428571429,0.5491346691005858,52,33,0.6346153846153846,0.49871428584801164,2.69627245805772,2,0.012500000000000011,0.43285051021946475,3.104122968277185,False,True
hit_shrink50,1,0.29500000000000004,0.5549999999999999,0.15,368,0.5788043478260869,0.5723729888006762,0.676694883694733,162,102,0.6296296296296297,0.5530684684667779,40,26,0.65,0.4950559699353738,2.685426137674747,2,0.009404388714733536,0.35379677689163724,3.020414137136917,False,True
hit_shrink50,1,0.32,0.205,0.475,368,0.5652173913043478,0.5628943158148942,0.6870165906355739,262,151,0.5763358778625954,0.5158215946545855,151,89,0.5894039735099338,0.5096676134898408,2.6990005034921714,2,0.0027192982456140102,0.4736631066346822,3.1672250136356253,False,False
hit_shrink50,1,0.32,0.22999999999999998,0.45000000000000007,368,0.5652173913043478,0.5634980529477466,0.6855115527208341,259,151,0.583011583011583,0.5221772748431865,144,86,0.5972222222222222,0.5155952900234319,2.7295490185379405,2,0.0,0.4818046137128726,3.211353632250813,False,False
hit_shrink50,1,0.32,0.255,0.42500000000000004,368,0.5679347826086957,0.5636489872309597,0.6841335385548466,255,148,0.5803921568627451,0.5190668138716641,139,84,0.60431654676259,0.5212692719542503,2.7499988466687233,2,0.01304888152444078,0.47538570815444975,3.1992867917742918,False,False
hit_shrink50,1,0.32,0.28,0.4,368,0.5706521739130435,0.564403658647025,0.682879559904641,251,145,0.5776892430278885,0.5158633314330933,134,82,0.6119402985074627,0.5274084845750908,2.772372890129245,2,0.01828316610925307,0.4763567368169741,3.212163294727713,False,False
hit_shrink50,1,0.32,0.305,0.375,368,0.5733695652173914,0.56503758263652,0.6817469249471639,244,142,0.5819672131147541,0.5192757806613804,125,77,0.616,0.5284885300554436,2.7810657037281565,2,0.022797131147541005,0.4714498650454971,3.2069213064785718,False,False
hit_shrink50,1,0.32,0.33,0.35,368,0.5815217391304348,0.5663658043287951,0.6807332144970462,233,133,0.5708154506437768,0.5066191420103829,117,72,0.6153846153846154,0.524895963703818,2.756270443050971,2,0.032894736842105254,0.4572785431323962,3.147759512499156,False,False
hit_shrink50,1,0.32,0.355,0.325,368,0.5842391304347826,0.5668789808917197,0.6798362615425496,226,130,0.5752212389380531,0.5100457672922684,110,69,0.6272727272727273,0.5340503169531756,2.797191303150933,2,0.03406084656084657,0.45966610248851525,3.1887357125177553,False,False
hit_shrink50,1,0.32,0.38,0.30000000000000004,368,0.5842391304347826,0.5674525311679295,0.6790541336237945,215,126,0.586046511627907,0.5192606731314824,98,60,0.6122448979591837,0.5132848977039014,2.7236730226596646,2,0.032916666666666705,0.4423319668777783,3.1001716562041097,False,False
